,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,other,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
122,706,2PartPilot3Part1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,26,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.53,3.53,walrus,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.383333333333333
123,707,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.66,3.66,walrus,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.966666666666665
124,708,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,19,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.63,3.63,walrus,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.75
125,709,2PartPilot3Part1,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,53,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,1.32,2.32,walrus,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.016666666666666
126,710,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,46,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,5,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,1.73,2.73,walrus,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.6
127,711,2PartPilot3Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,2.0,3.0,dromedary,0,1,7,1,2020-12-15,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.75
128,712,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,54,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,2.56,3.56,dromedary,0,1,7,1,2020-12-14,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.033333333333335
129,713,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,32,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,2.18,3.18,dromedary,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.983333333333334
130,714,2PartPilot3Part1,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,49,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,6,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.53,3.53,dromedary,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.116666666666667
131,715,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,61,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,1.75,2.75,dromedary,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.283333333333335
133,717,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,56,0,0,female,1.0,0.0,0.0,firefox,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,0.5,1.5,dromedary,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.616666666666667
134,718,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,26,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.51,3.51,dromedary,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.916666666666668
135,719,2PartPilot3Part1,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1,31,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.4,3.4,dromedary,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.383333333333333
136,720,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,30,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.56,3.56,dromedary,0,1,7,1,2020-12-10,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.583333333333332
137,721,2PartPilot3Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,66,0,0,male,0.0,1.0,0.0,firefox,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.12,3.12,dromedary,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.75
138,722,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,6,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.49,3.49,dromedary,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",31.366666666666667
139,723,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,20,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.52,3.52,dromedary,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.783333333333335
140,724,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,1.61,2.61,dromedary,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.266666666666666
141,725,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,45,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.49,3.49,dromedary,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.166666666666664
142,726,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,21,0,0,female,1.0,0.0,0.0,firefox,macos,UNKNOWN,6,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,1.59,2.59,dromedary,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.383333333333333
143,727,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,6,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.54,3.54,dromedary,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.333333333333332
144,728,2PartPilot3Part1,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,male,0.0,1.0,0.0,firefox,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,0.74,1.74,dromedary,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.583333333333332
145,729,2PartPilot3Part1,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1,26,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,0.61,1.61,dromedary,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",10.233333333333333
146,730,2PartPilot3Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,42,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,6,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,0.62,1.62,dromedary,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",15.633333333333333
147,731,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,30,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,2.59,3.59,aoudad,0,1,7,1,2020-12-15,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",16.133333333333333
148,732,2PartPilot3Part1,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1,65,0,0,female,1.0,0.0,0.0,firefox,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,0.92,1.92,aoudad,0,1,7,1,2020-12-14,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.416666666666668
149,733,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,35,0,0,female,1.0,0.0,0.0,firefox,macos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,0.54,1.54,aoudad,0,1,7,1,2020-12-13,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.866666666666667
150,734,2PartPilot3Part1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,59,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,0.75,1.75,aoudad,0,1,7,1,2020-12-13,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.96666666666667
151,735,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,36,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.5,3.5,aoudad,0,1,7,1,2020-12-12,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",43.53333333333333
152,736,2PartPilot3Part1,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1,65,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,1.99,2.99,aoudad,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.56666666666667
153,737,2PartPilot3Part1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,32,0,0,female,1.0,0.0,0.0,chrome,chromeos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,0.45,1.45,aoudad,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.0
154,738,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,54,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.53,3.53,aoudad,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",37.11666666666667
155,739,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,27,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.63,3.63,aoudad,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.233333333333334
156,740,2PartPilot3Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,25,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.68,3.68,aoudad,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",16.533333333333335
157,741,2PartPilot3Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,48,0,0,female,1.0,0.0,0.0,chrome,chromeos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-10,0.0,3,debug,1.85,2.85,aoudad,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",7.883333333333334
158,742,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.57,3.57,aoudad,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.516666666666666
159,743,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,24,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.56,3.56,aoudad,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.766666666666666
160,744,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,47,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.79,3.79,aoudad,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.1
161,745,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,male,0.0,1.0,0.0,chrome,macos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.15,3.15,aoudad,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.0
162,746,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,30,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.61,3.61,aoudad,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",16.016666666666666
164,748,2PartPilot3Part1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1,32,0,0,male,0.0,1.0,0.0,edge,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.19,3.19,aoudad,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.633333333333333
165,749,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,22,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,7,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.74,3.74,aoudad,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.783333333333335
166,750,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,37,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,2.63,3.63,aoudad,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",16.666666666666668
167,751,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,39,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,2.75,3.75,weasel,0,1,7,1,2020-12-15,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.033333333333335
168,752,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,38,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,0.0,1.0,weasel,0,1,7,1,2020-12-14,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.383333333333333
169,753,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,49,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,2.49,3.49,weasel,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.166666666666668
170,754,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,30,0,1,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,2.39,3.39,weasel,0,1,7,1,2020-12-12,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.383333333333333
171,755,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,41,0,0,male,0.0,1.0,0.0,chrome,chromeos,UNKNOWN,8,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,2.7,3.7,weasel,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.233333333333334
172,756,2PartPilot3Part1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,20,0,0,female,1.0,0.0,0.0,chrome,chromeos,UNKNOWN,8,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,0.44,1.44,weasel,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",14.966666666666667
173,757,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,2.62,3.62,weasel,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",38.8
174,758,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,8,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,0.48,1.48,weasel,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.683333333333334
175,759,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,38,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,0.56,1.56,weasel,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.45
176,760,2PartPilot3Part1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,25,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,2.45,3.45,weasel,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",16.566666666666666
177,761,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,64,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.41,3.41,weasel,0,1,7,1,2020-12-09,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.766666666666666
178,762,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,35,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.44,3.44,weasel,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.15
179,763,2PartPilot3Part1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,26,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,2.36,3.36,weasel,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.966666666666665
180,764,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,25,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.63,3.63,weasel,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.2
181,765,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,28,0,0,male,0.0,1.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.41,3.41,weasel,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.816666666666666
182,766,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,61,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,2.15,3.15,weasel,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",13.983333333333333
183,767,2PartPilot3Part1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,22,0,0,female,1.0,0.0,0.0,chrome,macos,UNKNOWN,8,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,1.05,2.05,weasel,0,1,7,1,2020-12-07,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.416666666666668
184,768,2PartPilot3Part1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,28,0,0,female,1.0,0.0,0.0,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-12-07,2020-12-07,2020-12-07,0.0,3,debug,0.0,1.0,weasel,0,1,7,1,2020-12-07,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.55
