,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,final_bonus,displayed_bonus,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,time_diff
34,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1001,2PartPilot2Part1,2.16,3.16,guanaco,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",45.11666666666667
35,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,919,2PartPilot2Part1,2.29,3.29,guanaco,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",31.816666666666666
36,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1002,2PartPilot2Part1,2.58,3.58,walrus,0,1,7,1,2020-11-28,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",17.416666666666668
37,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1003,2PartPilot2Part1,1.2,2.2,walrus,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.783333333333335
38,firefox,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1004,2PartPilot2Part1,1.83,2.83,walrus,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.116666666666667
39,chrome,windows,UNKNOWN,5,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1005,2PartPilot2Part1,2.03,3.03,walrus,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.1
40,chrome,windows,UNKNOWN,5,0,irlexp7_1_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1006,2PartPilot2Part1,2.37,3.37,walrus,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",30.066666666666666
41,chrome,linux,UNKNOWN,6,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1007,2PartPilot2Part1,2.51,3.51,dromedary,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",16.516666666666666
42,safari,macos,UNKNOWN,6,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1008,2PartPilot2Part1,1.75,2.75,dromedary,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.233333333333334
43,chrome,windows,UNKNOWN,6,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1009,2PartPilot2Part1,1.9,2.9,dromedary,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.433333333333334
44,chrome,macos,UNKNOWN,6,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1010,2PartPilot2Part1,2.74,3.74,dromedary,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",23.866666666666667
45,chrome,windows,UNKNOWN,6,0,irlexp7_1_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1011,2PartPilot2Part1,2.0,3.0,dromedary,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.333333333333332
46,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1012,2PartPilot2Part1,2.15,3.15,aoudad,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",22.266666666666666
47,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1013,2PartPilot2Part1,2.53,3.53,aoudad,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",29.4
48,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1014,2PartPilot2Part1,2.47,3.47,aoudad,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.066666666666666
49,chrome,windows,UNKNOWN,7,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1015,2PartPilot2Part1,1.91,2.91,aoudad,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",19.0
51,chrome,macos,UNKNOWN,8,0,irlexp7_2_part1,2020-11-29,2020-11-29,2020-11-29,0.0,3,debug,1017,2PartPilot2Part1,0.62,1.62,weasel,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",21.7
52,firefox,macos,UNKNOWN,8,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1018,2PartPilot2Part1,2.31,3.31,weasel,0,1,7,1,2020-11-28,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",18.683333333333334
53,firefox,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1019,2PartPilot2Part1,2.09,3.09,weasel,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.233333333333334
54,chrome,windows,UNKNOWN,8,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1020,2PartPilot2Part1,2.24,3.24,weasel,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",20.2
55,chrome,windows,UNKNOWN,9,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1021,2PartPilot2Part1,0.4,1.4,rooster,0,1,7,1,2020-11-28,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.6
56,chrome,windows,UNKNOWN,9,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1022,2PartPilot2Part1,2.19,3.19,rooster,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.283333333333335
57,chrome,macos,UNKNOWN,9,0,irlexp7_2_part1,2020-11-28,2020-11-28,2020-11-28,0.0,3,debug,1023,2PartPilot2Part1,0.17,1.17,rooster,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",15.716666666666667
58,chrome,windows,UNKNOWN,9,0,irlexp7_2_part1,2020-11-27,2020-11-27,2020-11-27,0.0,3,debug,1024,2PartPilot2Part1,1.98,2.98,rooster,0,1,7,1,2020-11-27,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.933333333333334
60,chrome,windows,UNKNOWN,4,0,irlexp7_2_part1,2020-11-28,2020-11-28,,0.0,2,debug,1026,2PartPilot2Part1,,,guanaco,0,1,7,1,2020-11-27,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",
95,chrome,chromeos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-15,2020-12-15,2020-12-15,0.0,3,debug,593,2PartPilot3Part1,2.36,3.36,hedgehog,0,1,7,1,2020-12-15,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",38.016666666666666
96,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-14,2020-12-14,2020-12-14,0.0,3,debug,594,2PartPilot3Part1,0.53,1.53,hedgehog,0,1,7,1,2020-12-14,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",26.333333333333332
97,firefox,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-13,2020-12-13,2020-12-13,0.0,3,debug,595,2PartPilot3Part1,2.33,3.33,hedgehog,0,1,7,1,2020-12-13,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",38.03333333333333
98,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,596,2PartPilot3Part1,2.46,3.46,hedgehog,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",28.15
99,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-12,2020-12-12,2020-12-12,0.0,3,debug,597,2PartPilot3Part1,2.02,3.02,hedgehog,0,1,7,1,2020-12-12,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",32.35
100,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,598,2PartPilot3Part1,0.0,1.0,hedgehog,0,1,7,1,2020-12-11,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",42.13333333333333
101,chrome,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-11,2020-12-11,2020-12-11,0.0,3,debug,599,2PartPilot3Part1,2.27,3.27,hedgehog,0,1,7,1,2020-12-11,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.833333333333332
102,firefox,macos,UNKNOWN,0,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,600,2PartPilot3Part1,2.2,3.2,hedgehog,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.483333333333334
103,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,601,2PartPilot3Part1,2.32,3.32,hedgehog,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",36.233333333333334
104,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-10,2020-12-10,2020-12-10,0.0,3,debug,602,2PartPilot3Part1,2.05,3.05,hedgehog,0,1,7,1,2020-12-10,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",25.55
105,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,603,2PartPilot3Part1,2.15,3.15,hedgehog,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",24.516666666666666
106,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,604,2PartPilot3Part1,,,hedgehog,0,1,7,1,2020-12-09,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",37.916666666666664
107,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-09,2020-12-09,2020-12-09,0.0,3,debug,605,2PartPilot3Part1,2.31,3.31,hedgehog,0,1,7,1,2020-12-08,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",27.2
108,chrome,windows,UNKNOWN,0,0,irlexp7_2_part1,2020-12-08,2020-12-08,2020-12-08,0.0,3,debug,606,2PartPilot3Part1,0.43,1.43,hedgehog,0,1,7,1,2020-12-08,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",34.266666666666666
