,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus,time_diff
78,chrome,chromeos,en-US,8,0,irlexp10_1,2022-03-09 15:26:15.975118,2022-03-09 15:26:32.593635,2022-03-09 15:35:39.935705,0.0,3,live,2288,methods_main,weasel,0,0,7,1,Wed Mar 09 2022 09:26:25 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.33,3.33,9.383333333333333
79,chrome,windows,en-US,8,0,irlexp10_1,2022-03-09 15:21:20.499843,2022-03-09 15:21:27.521481,2022-03-09 15:33:11.552928,0.0,3,live,2289,methods_main,weasel,0,0,7,1,Wed Mar 09 2022 09:21:22 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.44,3.44,11.85
80,chrome,linux,en-US,8,0,irlexp10_1,2022-03-09 14:53:36.788871,2022-03-09 14:53:44.376818,2022-03-09 15:08:16.966590,0.0,3,live,2239,methods_main,weasel,0,0,7,1,Wed Mar 09 2022 09:53:38 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.2,3.2,14.666666666666666
81,chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 16:48:18.998331,2022-03-09 16:48:40.064599,2022-03-09 17:03:44.900497,0.0,3,live,2349,methods_main,rooster,0,0,7,1,Wed Mar 09 2022 08:48:21 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.17,3.17,15.416666666666666
82,chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 16:14:35.758956,2022-03-09 16:17:40.660974,2022-03-09 16:27:54.665745,0.0,3,live,2325,methods_main,rooster,0,0,7,1,Wed Mar 09 2022 11:14:38 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,1.23,1.23,13.3
83,chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 14:59:47.778552,2022-03-09 15:02:41.709788,2022-03-09 15:11:49.923574,0.0,3,live,2240,methods_main,rooster,0,0,7,1,Wed Mar 09 2022 09:59:49 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.89,2.89,12.033333333333333
84,chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 14:56:16.496789,2022-03-09 14:59:38.432838,2022-03-09 15:17:17.825442,0.0,3,live,2241,methods_main,rooster,0,0,7,1,Wed Mar 09 2022 08:58:20 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.18,3.18,21.016666666666666
85,chrome,windows,en-US,9,0,irlexp10_1,2022-03-09 14:54:00.085827,2022-03-09 14:54:07.995826,2022-03-09 15:12:20.279476,0.0,3,live,2242,methods_main,rooster,0,0,7,1,Wed Mar 09 2022 09:54:02 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.16,3.16,18.333333333333332
86,chrome,chromeos,en-US,10,0,irlexp10_1,2022-03-09 17:08:24.657565,2022-03-09 17:10:23.899057,2022-03-09 17:23:11.285165,0.0,3,live,2350,methods_main,civet,0,0,7,1,Wed Mar 09 2022 12:08:28 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,,14.766666666666667
87,firefox,windows,en-US,10,0,irlexp10_1,2022-03-09 16:31:53.798521,2022-03-09 16:39:15.984364,2022-03-09 17:16:58.996609,0.0,3,live,2328,methods_main,civet,0,0,7,1,Wed Mar 09 2022 11:31:54 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.34,2.34,45.083333333333336
88,chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 15:34:00.717511,2022-03-09 15:36:40.780834,2022-03-09 15:49:41.139394,0.0,3,live,2290,methods_main,civet,0,0,7,1,Wed Mar 09 2022 10:29:45 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.04,3.04,15.666666666666666
89,chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 15:20:45.566679,2022-03-09 15:22:14.358827,2022-03-09 15:31:04.337290,0.0,3,live,2291,methods_main,civet,0,0,7,1,Wed Mar 09 2022 10:20:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.9,2.9,10.3
90,chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 15:04:12.443799,2022-03-09 15:06:46.642290,2022-03-09 15:19:22.902170,0.0,3,live,2243,methods_main,civet,0,0,7,1,Wed Mar 09 2022 09:04:12 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.34,3.34,15.166666666666666
91,chrome,windows,en-US,10,0,irlexp10_1,2022-03-09 14:54:03.457038,2022-03-09 14:56:18.775584,2022-03-09 15:07:39.786773,0.0,3,live,2244,methods_main,civet,0,0,7,1,Wed Mar 09 2022 09:54:06 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.33,3.33,13.6
92,firefox,linux,en-US,11,0,irlexp10_1,2022-03-09 17:26:07.074548,2022-03-09 17:29:27.240134,2022-03-09 17:43:08.831529,0.0,3,live,2355,methods_main,iguana,0,0,7,1,Wed Mar 09 2022 10:25:57 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,3.25,3.25,17.016666666666666
93,firefox,windows,en-US,11,0,irlexp10_1,2022-03-09 17:00:17.714085,2022-03-09 17:02:48.816970,2022-03-09 17:23:23.892708,0.0,3,live,2351,methods_main,iguana,0,0,7,1,Wed Mar 09 2022 11:00:19 GMT-0600 (Central Standard Time),0.002,2_4_24,312,2.84,2.84,23.1
94,chrome,windows,en-US,11,0,irlexp10_1,2022-03-09 15:11:54.316455,2022-03-09 15:25:07.403320,2022-03-09 15:38:10.024229,0.0,3,live,2278,methods_main,iguana,0,0,7,1,Wed Mar 09 2022 10:11:56 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.3,3.3,26.25
96,chrome,macos,en-US,11,0,irlexp10_1,2022-03-09 14:53:54.949410,2022-03-09 14:54:02.215804,2022-03-09 15:05:13.802855,0.0,3,live,2215,methods_main,iguana,0,0,7,1,Wed Mar 09 2022 09:53:56 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,,11.3
97,chrome,windows,en-US,12,0,irlexp10_1,2022-03-09 17:54:49.974376,2022-03-09 17:56:41.487827,2022-03-09 18:06:31.607975,0.0,3,live,2362,methods_main,fruitbat,0,0,7,1,Wed Mar 09 2022 12:54:50 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.41,3.41,11.683333333333334
99,chrome,windows,en-US,12,0,irlexp10_1,2022-03-09 15:18:09.849067,2022-03-09 15:21:03.565366,2022-03-09 15:34:14.525199,0.0,3,live,2293,methods_main,fruitbat,0,0,7,1,Wed Mar 09 2022 10:18:13 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.17,3.17,16.066666666666666
100,chrome,windows,en-US,12,0,irlexp10_1,2022-03-09 14:58:51.330794,2022-03-09 15:01:56.177709,2022-03-09 15:16:47.417040,0.0,3,live,2245,methods_main,fruitbat,0,0,7,1,Wed Mar 09 2022 09:58:54 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.21,3.21,17.933333333333334
101,firefox,windows,en-US,12,0,irlexp10_1,2022-03-09 14:53:25.938559,2022-03-09 14:53:35.555151,2022-03-09 15:06:48.065335,0.0,3,live,2247,methods_main,fruitbat,0,0,7,1,Wed Mar 09 2022 09:53:27 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.2,2.2,13.366666666666667
102,firefox,windows,en-US,13,0,irlexp10_1,2022-03-09 19:18:58.582312,2022-03-09 19:19:05.213468,2022-03-09 19:35:37.251578,0.0,3,live,2369,methods_main,reindeer,0,0,7,1,Wed Mar 09 2022 14:18:59 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.02,3.02,16.633333333333333
103,chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 17:35:42.047672,2022-03-09 17:39:40.657238,2022-03-09 17:52:31.291066,0.0,3,live,2356,methods_main,reindeer,0,0,7,1,Wed Mar 09 2022 09:35:43 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.36,3.36,16.816666666666666
104,chrome,windows,en-US,13,0,irlexp10_1,2022-03-09 15:12:37.647981,2022-03-09 15:12:46.175857,2022-03-09 15:24:57.049432,0.0,3,live,2279,methods_main,reindeer,0,0,7,1,Wed Mar 09 2022 10:12:39 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.86,0.86,12.316666666666666
105,firefox,windows,en-US,13,0,irlexp10_1,2022-03-09 14:58:40.643810,2022-03-09 15:03:49.068865,2022-03-09 15:24:22.387965,0.0,3,live,2248,methods_main,reindeer,0,0,7,1,Wed Mar 09 2022 09:58:40 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.23,3.23,25.683333333333334
