pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type
26,17,"[2163, 3225, 4396]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['9'], 'time': [1258]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9'], 'time': [None]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[48, 4, -2]","[1148.509999999078, 3166.53000000224, 1045.1449999964098]",1,[],49,"[None, None, None]","['', 24, 8, 2, 4, 24, 8, -2, -4, 48, 4, -4, -2]",221517,[],mouselab-mdp
26,18,"[1612, 2373, 3161]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': ['5'], 'time': [1001]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '0', '5'], 'time': [None, 733, 883]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '0'], 'time': [700, 782]}, 'edge': {'target': [], 'time': []}}}","[48, -8, -2]","[642.6999999966938, 2157.905000000028, 569.1850000002887]",1,[],37,"[None, None, None]","['', -24, 4, 4, 4, 48, -8, -2, 4, 24, -4, -4, 4]",228224,[],mouselab-mdp
26,19,"[1964, 2753, 3841]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5'], 'time': [771]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5'], 'time': [None]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': [], 'time': []}, 'edge': {'target': [], 'time': []}}}","[48, -4, -2]","[671.8350000010105, 1608.3399999915855, 254.69000000157394]",1,[],41,"[None, None, None]","['', 24, -8, 2, -2, 48, -4, -4, -2, 24, -4, 4, -4]",237358,[],mouselab-mdp
26,20,"[3472, 4152, 4662]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': ['5', '9', '1'], 'time': [1149, 2181, 2682]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '9', '1'], 'time': [None, 2009, 2559]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '9', '1'], 'time': [1908, 2492, 3092]}, 'edge': {'target': [], 'time': []}}}","[24, 8, -2]","[291.97500000009313, 1961.1600000062026, 284.84999999636784]",1,[],27,"[None, None, None]","['', -48, -8, 4, 2, 24, 8, -2, -2, -24, 4, 4, 4]",244899,[],mouselab-mdp
26,21,"[2890, 3454, 4455]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['5', '1', '9'], 'time': [593, 1274, 1866]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '1', '9'], 'time': [None, 1144, 1711]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '1', '9'], 'time': [1046, 1662, 2261]}, 'edge': {'target': [], 'time': []}}}","[24, 4, -2]","[589.6050000010291, 3470.1900000072783, 174.5200000004843]",1,[],23,"[None, None, None]","['', 24, 4, -2, 4, -24, -8, -2, -4, -24, 8, -4, -2]",251033,[],mouselab-mdp
26,22,"[2108, 3037, 4844]","['left', 'left', 'up']",training,"['0', '9', '10', '11']","{'click': {'state': {'target': ['9'], 'time': [1177]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9'], 'time': [1127]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '9'], 'time': [1559, 3860]}, 'edge': {'target': [], 'time': []}}}","[48, 4, 2]","[17.949999994016252, 2887.349999989965, 73.63500000792556]",1,[],53,"[None, None, None]","['', 24, 8, -4, -2, 48, 4, 2, -4, 48, 4, 2, -2]",255933,[],mouselab-mdp
26,23,"[1986, 2798, 3753]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['9'], 'time': [1039]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '5'], 'time': [884, 1483]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9'], 'time': [1399]}, 'edge': {'target': [], 'time': []}}}","[48, 8, -2]","[504.7000000049593, 2105.6399999943096, 425.0800000008894]",1,[],53,"[None, None, None]","['', -48, 4, 2, -4, -48, 8, -4, -4, 48, 8, -2, -2]",261289,[],mouselab-mdp
26,24,"[3915, 4587, 5463]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['5', '1', '9'], 'time': [872, 1609, 2180]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '1', '9'], 'time': [None, 1510, 1978]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '1'], 'time': [1310, 1910]}, 'edge': {'target': [], 'time': []}}}","[24, -8, -2]","[1314.0050000074552, 1983.7300000071991, 311.7550000024494]",1,[],11,"[None, None, None]","['', -24, -4, -2, -4, 24, -8, 2, -4, 24, -8, -4, -2]",267547,[],mouselab-mdp
26,25,"[3935, 4678, 5476]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['9', '1', '5'], 'time': [837, 1478, 2432]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '1', '5', '5'], 'time': [None, 1266, 1783, 2333]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '1', '5'], 'time': [1198, 1732, 1867]}, 'edge': {'target': [], 'time': []}}}","[24, -4, -4]","[449.9599999981001, 3911.600000006729, 174.2250000097556]",1,[],13,"[None, None, None]","['', -24, -8, -4, 2, -48, 8, 2, -2, 24, -4, -2, -4]",273724,[],mouselab-mdp
26,26,"[1427, 2163, 2965]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5'], 'time': [502]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5'], 'time': [None]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5'], 'time': [959]}, 'edge': {'target': [], 'time': []}}}","[48, -4, -2]","[381.5500000055181, 3932.235000000219, 242.67500000132713]",1,[],41,"[None, None, None]","['', 48, -8, 4, -4, 48, -4, -4, -2, 48, 8, -4, 2]",280368,[],mouselab-mdp
26,27,"[4637, 5270, 5942]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['1', '5', '9'], 'time': [1625, 2947, 3620]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '1', '6', '5', '9', '0'], 'time': [1253, 1368, 2085, 2819, 3452, 3887]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '1', '6', '5', '9', '0'], 'time': [1335, 2036, 2703, 3352, 3869, 3902]}, 'edge': {'target': [], 'time': []}}}","[24, -8, 4]","[290.1399999973364, 1423.1500000023516, 236.0950000002049]",1,[],17,"[None, None, None]","['', 24, -8, 4, -4, -24, 8, 2, -4, -24, 4, 4, 2]",285944,[],mouselab-mdp
26,28,"[3476, 4258, 5050]","['right', 'right', 'up']",training,"['0', '5', '6', '7']","{'click': {'state': {'target': ['5', '9', '1'], 'time': [882, 1691, 2228]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['0', '0', '5', '1', '9', '1'], 'time': [None, 673, 772, 1388, 1638, 2073]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '0', '5', '1', '9'], 'time': [602, 688, 1338, 1521, 2006]}, 'edge': {'target': [], 'time': []}}}","[-24, 4, -2]","[302.71500001254026, 4634.90499999898, 132.15499999932945]",1,[],-25,"[None, None, None]","['', -48, 4, 4, -2, -24, 4, -2, -2, -48, -4, 4, -4]",292590,[],mouselab-mdp
26,29,"[3121, 4096, 4820]","['left', 'left', 'down']",training,"['0', '9', '10', '12']","{'click': {'state': {'target': ['1', '5', '9'], 'time': [952, 1580, 2119]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '5', '0', '9'], 'time': [None, 1402, 1937, 1970]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '5', '0'], 'time': [1320, 1902, 1954]}, 'edge': {'target': [], 'time': []}}}","[48, 8, -2]","[168.3950000006007, 3473.0500000005122, 282.49500000674743]",1,[],51,"[None, None, None]","['', 24, 4, -2, -2, -24, -4, 2, -4, 48, 8, -2, -2]",299391,[],mouselab-mdp
26,30,"[2556, 3488, 4297]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['9', '5', '1'], 'time': [578, 1290, 1715]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['9', '0', '5', '1'], 'time': [None, 1033, 1151, 1634]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '0', '5'], 'time': [984, 1102, 1585]}, 'edge': {'target': [], 'time': []}}}","[48, -4, 4]","[292.1350000106031, 3118.1550000037532, 472.92499999457505]",1,[],45,"[None, None, None]","['', 48, -4, 4, 2, -48, -8, 4, 2, 24, 8, -2, 2]",304141,[],mouselab-mdp
26,31,"[1878, 2462, 3233]","['up', 'up', 'right']",training,"['0', '1', '2', '3']","{'click': {'state': {'target': ['1'], 'time': [894]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '1', '5'], 'time': [None, 808, 1341]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['1', '1'], 'time': [594, 1308]}, 'edge': {'target': [], 'time': []}}}","[48, 4, -2]","[230.62500001105946, 2553.879999992205, 434.6450000011828]",1,[],49,"[None, None, None]","['', 48, 4, -2, -2, -48, -8, 2, -2, 24, 8, -2, -4]",311686,[],mouselab-mdp
26,32,"[2654, 3305, 4124]","['right', 'right', 'down']",training,"['0', '5', '6', '8']","{'click': {'state': {'target': ['5', '1', '9'], 'time': [861, 1463, 1967]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['5', '5', '1', '9'], 'time': [None, 711, 1330, 1828]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['5', '5', '1'], 'time': [563, 1278, 1762]}, 'edge': {'target': [], 'time': []}}}","[-24, -8, -2]","[310.6299999926705, 1874.7849999926984, 83.04500000667758]",1,[],-37,"[None, None, None]","['', -48, 8, -4, 4, -24, -8, 4, -2, -48, -8, -4, -2]",319105,[],mouselab-mdp
