browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid
chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 18:59:23.924213,2022-03-09 19:00:57.353192,2022-03-09 19:10:08.532007,0.0,3,live,2366
chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 15:12:49.852981,2022-03-09 15:16:36.033186,2022-03-09 15:29:56.364147,0.0,3,live,2276
chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 14:52:45.558928,2022-03-09 14:58:48.161328,2022-03-09 14:59:41.124960,0.0,3,live,195
chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 14:56:52.592910,2022-03-09 14:56:57.962236,2022-03-09 15:09:52.153544,0.0,3,live,2234
chrome,windows,en-US,6,0,irlexp10_1,2022-03-09 14:55:43.438278,2022-03-09 14:55:58.125654,2022-03-09 15:09:10.346093,0.0,3,live,2235
chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 17:45:06.141332,2022-03-09 17:46:29.036778,2022-03-09 18:00:28.018698,0.0,3,live,2361
chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 16:12:59.438913,2022-03-09 16:15:01.385140,2022-03-09 16:24:58.213861,0.0,3,live,2323
firefox,windows,en-US,7,0,irlexp10_1,2022-03-09 15:14:55.566854,2022-03-09 15:15:09.829774,2022-03-09 15:29:12.776088,0.0,3,live,2277
chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 14:59:27.140159,2022-03-09 15:02:23.335224,2022-03-09 15:13:18.154519,0.0,3,live,2236
chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 14:55:27.670936,2022-03-09 14:55:52.332834,2022-03-14 09:02:36.832910,0.0,3,live,2237
chrome,windows,en-US,7,0,irlexp10_1,2022-03-09 14:53:26.380918,2022-03-09 14:53:32.153598,2022-03-09 15:04:52.890269,0.0,3,live,2213
chrome,windows,en-US,8,0,irlexp10_1,2022-03-09 16:11:06.333138,2022-03-09 16:12:21.787614,2022-03-09 16:21:15.088893,0.0,3,live,2324
