pid,CODE,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,final_bonus,displayed_bonus
2236,aoudad,0,0,7,1,Wed Mar 09 2022 07:59:30 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,3.05,3.05
2237,aoudad,0,0,7,1,Wed Mar 09 2022 06:52:39 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.24,3.24
2213,aoudad,0,0,7,1,Wed Mar 09 2022 08:53:25 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.37,3.37
2324,weasel,0,0,7,1,Wed Mar 09 2022 10:11:06 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.36,3.36
2308,weasel,0,0,7,1,Wed Mar 09 2022 09:39:34 GMT-0600 (Central Standard Time),0.002,2_4_24,312,,
2288,weasel,0,0,7,1,Wed Mar 09 2022 09:26:25 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.33,3.33
2289,weasel,0,0,7,1,Wed Mar 09 2022 09:21:22 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.44,3.44
2239,weasel,0,0,7,1,Wed Mar 09 2022 09:53:38 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.2,3.20
2349,rooster,0,0,7,1,Wed Mar 09 2022 08:48:21 GMT-0800 (Pacific Standard Time),0.002,2_4_24,312,3.17,3.17
2325,rooster,0,0,7,1,Wed Mar 09 2022 11:14:38 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,1.23,1.23
2240,rooster,0,0,7,1,Wed Mar 09 2022 09:59:49 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.89,2.89
2241,rooster,0,0,7,1,Wed Mar 09 2022 08:58:20 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.18,3.18
2242,rooster,0,0,7,1,Wed Mar 09 2022 09:54:02 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.16,3.16
2350,civet,0,0,7,1,Wed Mar 09 2022 12:08:28 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2328,civet,0,0,7,1,Wed Mar 09 2022 11:31:54 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.34,2.34
2290,civet,0,0,7,1,Wed Mar 09 2022 10:29:45 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.04,3.04
2291,civet,0,0,7,1,Wed Mar 09 2022 10:20:47 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,2.9,2.90
2243,civet,0,0,7,1,Wed Mar 09 2022 09:04:12 GMT-0600 (Central Standard Time),0.002,2_4_24,312,3.34,3.34
2244,civet,0,0,7,1,Wed Mar 09 2022 09:54:06 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.33,3.33
2355,iguana,0,0,7,1,Wed Mar 09 2022 10:25:57 GMT-0700 (Mountain Standard Time),0.002,2_4_24,312,3.25,3.25
2351,iguana,0,0,7,1,Wed Mar 09 2022 11:00:19 GMT-0600 (Central Standard Time),0.002,2_4_24,312,2.84,2.84
2278,iguana,0,0,7,1,Wed Mar 09 2022 10:11:56 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.3,3.30
2214,iguana,0,0,7,1,Wed Mar 09 2022 08:55:21 GMT-0600 (Central Standard Time),0.002,2_4_24,312,0.1,0
2215,iguana,0,0,7,1,Wed Mar 09 2022 09:53:56 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,,
2362,fruitbat,0,0,7,1,Wed Mar 09 2022 12:54:50 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,3.41,3.41
2292,fruitbat,0,0,7,1,Wed Mar 09 2022 10:29:21 GMT-0500 (Eastern Standard Time),0.002,2_4_24,312,0.1,0
