"","AD","CIT","SW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
"BIS_9",0.0211551566919331,0.00560323711594621,-0.00788213027290502
"BIS_10",0.0165270952530112,-0.000131384730937123,-0.00922076747915955
"BIS_11",0.00134141178497101,0.0110520287327651,0.00283103723995424
"BIS_12",0.0160026198864881,-0.000932412486757455,-0.0116644371043983
"BIS_13",0.0232638791096228,-0.0086853669918707,-0.0088719719882101
"BIS_14",0.00733617644142489,0.0207775046507659,-0.0132500722223787
"BIS_15",0.00479885371444099,-0.00551725128469088,0.00168234985963609
"BIS_16",0.0066124024416678,0.0107698758599389,-0.00831925996052327
"BIS_17",0.00921487134446079,0.0181214201092203,-0.0163895297790759
"BIS_18",0.00337947520039213,0.00816515178403159,-0.000808706940577326
"BIS_19",0.00630986583384049,0.0163302822506748,-0.0172055414041425
"BIS_20",0.015146494425116,0.00129341933666975,-0.00655219626576073
"BIS_21",0.00359024197235641,0.0104463514493677,-0.00825238524123615
"BIS_22",0.00671137924774963,0.0169691985931702,-0.0103557634101392
"BIS_23",0.000102624411725009,0.00150635133809729,0.00599402321573623
"BIS_24",0.00330615557247075,0.0103445190579595,-0.00332730040443522
"BIS_25",0.0124452239724359,0.0142073731629459,-0.0115475720954906
"BIS_26",0.00855326051291345,0.0199519539825701,-0.0017224172048566
"BIS_27",0.00127036671574292,0.00280266465106078,-0.00414815964698751
"BIS_28",0.00203680681223156,0.0130625536711362,0.00103702179501108
"BIS_29",0.00477775500815078,-0.000812631214476346,-0.00344355569906681
"BIS_30",0.017184318088092,-0.00899255223417634,-0.00636863475372778
"LSAS_1",-0.00110759204810146,0.00778804233923706,0.0182399752186094
"LSAS_2",0.000495134373400216,-0.00567241111010264,0.0641270074245871
"LSAS_3",-0.00244441760558183,0.0142677989305353,0.0162070960243911
"LSAS_4",-0.0024453791245348,0.00456774774107705,0.0200724927319026
"LSAS_5",0.00340954679511927,0.00204393658209247,0.0389692494884693
"LSAS_6",-0.00304733596246666,-0.00953766022523476,0.0442540770194186
"LSAS_7",0.00388769418737572,-0.0114650587857127,0.0733462651765139
"LSAS_8",-0.0023998949342278,0.00296074294585984,0.049942996051958
"LSAS_9",-0.00366810309586725,0.00455637785406567,0.0387069154899096
"LSAS_10",-0.000175509326510275,-0.000126471524249303,0.0550048390177598
"LSAS_11",-0.00406925038109021,0.000591826481201402,0.087977121319425
"LSAS_12",-0.00593998581333997,-0.00229083797517508,0.096551770959207
"LSAS_13",-0.00569836978713011,0.00920828048847204,0.0185122324361211
"LSAS_14",-0.00811695569832356,0.00964956736270151,0.0470539160909031
"LSAS_15",-0.00396866237986364,-0.0159490525544951,0.0834803657023855
"LSAS_16",-0.00596043830994424,-0.00723560096465573,0.0799700347778578
"LSAS_17",-0.0029408452936316,0.0111425354049425,0.0221704897239525
"LSAS_18",-0.00558354195822397,0.00225613240565718,0.0513262315733388
"LSAS_19",-0.0015798058984925,0.00384525111701864,0.0439594049373228
"LSAS_20",-0.00332695215539047,-0.00976386675330461,0.0535520740532499
"LSAS_21",0.00363814429379805,-0.00901180954310692,0.0410569347719352
"LSAS_22",-0.00260987104430327,0.00968900274521656,0.033532510151666
"LSAS_23",0.000524603214890064,-0.00669914104214593,0.0495838833565264
"LSAS_24",-0.00307583268922229,0.00415295197470691,0.0341562024399541
