"","AD","CIT","SW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
"EAT_21",-0.00467604570106804,0.0311359533050243,0.00775624580130526
"EAT_22",-0.00596934336082139,0.0251627102183182,0.00464887551850771
"EAT_23",-0.010768215597862,0.026576319152984,0.00278915870160216
"EAT_24",-0.00228925844355013,0.0233130537499523,-0.00245533118809692
"EAT_25",-0.00231864182949098,0.0285723119784123,-0.00413993455052523
"EAT_26",-0.000888333372719089,-0.00318754715759878,0.00622547711599362
"AES_1",0.0246837186763249,-0.00596888720507037,0.00149445876430473
"AES_2",0.0307789734950547,-0.00886249150023471,-0.00513075635365447
"AES_3",0.0157616895073434,-0.0089843999808168,-0.00350307975175332
"AES_4",0.00890588403535154,-0.0116635794050516,0.0128630875308945
"AES_5",0.00855447799527801,-0.00648295510189735,0.00524939229857339
"AES_6",0.0174830573750197,0.0016791190216027,-0.00777397387306391
"AES_7",0.0271230621649912,-0.0239417460157228,0.00975019696849675
"AES_8",0.0206439506119964,-0.00241511900364209,-0.00690706836968189
"AES_9",0.0176282772556578,-0.00667038314566356,0.00097478925030928
"AES_10",0.00539901773794054,0.0157561984863906,-0.00798939675692607
"AES_11",0.00839867756675765,0.00797521155027938,-0.0104702718837865
"AES_12",0.0173546180909531,-0.0130916773749542,0.01498082511318
"AES_13",0.00982429273288538,-0.0113669192850519,0.0159274006980116
"AES_14",0.0154200341877287,-0.00997045694558974,0.00134359303243734
"AES_15",0.012895857792191,0.000124507206010789,-0.000343698099628373
"AES_16",0.0243724824946058,-0.00975892761384632,-0.00731391520158142
"AES_17",0.0440963272422447,-0.0213751668468989,0.00155382792218914
"AES_18",0.050243444924185,-0.0245143383707521,0.000778746863205815
"AUDIT_1",0.00309606185270548,0.00938364577817209,-0.013789440379832
"AUDIT_2",0.00771864798845241,0.0147636468544821,-0.0170392953691835
"AUDIT_3",0.00713912766479564,0.0163270564030083,-0.0198755693840416
"AUDIT_4",0.00525907809294996,0.0183927679658767,-0.0141690798848787
"AUDIT_5",0.00395396613607157,0.019992114048007,-0.0145525816529233
"AUDIT_6",0.00139930869408425,0.020606662947139,-0.011032825247039
"AUDIT_7",0.00332091929582197,0.0231201314040204,-0.0140708798146677
