Anxiety/depression,Compulsivity,Social withdrawal,item
0.0,0.0,0.03502476591646965,leb.14
0.0,-0.0,0.16744413102726735,leb.15
0.0,0.0,0.1733565058367581,leb.16
0.0,0.0,0.0,leb.17
0.0,-0.0,0.03055457956422178,leb.18
0.0,0.0,0.0,leb.19
0.0,0.0,0.07150411458593216,leb.20
0.0,0.0,0.0,leb.21
0.0,0.0,0.0,leb.22
0.0,-0.0,0.07163350925898031,leb.23
0.0,0.0,0.02154028793417209,leb.24
0.027795686380924313,-0.0,-0.0,bis.1
0.0,0.0,-0.0,bis.2
-0.0,0.0,-0.0,bis.3
-0.0,0.0,-0.0,bis.4
0.0,0.0,0.0,bis.5
0.0,0.07255838374822669,0.0,bis.6
0.0,0.0,-0.0,bis.7
0.0,0.0,-0.0,bis.8
0.05932083858590319,0.0,0.0,bis.9
0.0,0.0,-0.0,bis.10
0.0,0.0,0.0,bis.11
0.0,-0.0,-0.0,bis.12
0.021178616009891606,0.0,-0.0,bis.13
0.0,0.01781562891042019,-0.0,bis.14
0.0,-0.029513079899761898,0.0,bis.15
0.0,0.0,-0.0,bis.16
0.0,0.08951505967794382,-0.0,bis.17
0.0,0.0,0.0,bis.18
0.0,0.0,-0.0,bis.19
0.013748550971717172,-0.0,-0.0,bis.20
0.0,0.0,-0.0,bis.21
0.0,0.004100941280835084,-0.0,bis.22
0.0,0.0,0.0,bis.23
0.0,0.0,-0.0,bis.24
0.0,0.044580511879605225,-0.0,bis.25
0.0,0.04051876819895488,0.0,bis.26
0.0,0.0,-0.0,bis.27
0.0,0.0,0.0,bis.28
0.0,-0.0,0.0,bis.29
0.0,-0.0,-0.0,bis.30
0.0,0.0,0.0,schizo.1
0.0,0.0,0.0,schizo.2
0.0,0.0,0.0,schizo.3
0.0,0.0,0.0,schizo.4
-0.0,0.0,0.0,schizo.5
0.0,0.0,0.0,schizo.6
0.0,0.0,0.0,schizo.7
-0.0,0.0,0.0,schizo.8
0.0,0.0,0.0,schizo.9
-0.0,0.0,0.0,schizo.10
0.0,0.0,0.0,schizo.11
-0.0,0.0,0.0,schizo.12
0.0,0.0,0.0,schizo.13
0.0,0.0,0.0,schizo.14
0.0,0.0,0.0,schizo.15
0.0,0.0,0.0,schizo.16
0.0,0.0,0.0,schizo.17
0.0,0.0,0.0,schizo.18
0.0,0.0,0.0,schizo.19
0.0,0.0,0.0,schizo.20
0.0,0.0,0.0,schizo.21
0.0,0.0,0.0,schizo.22
0.0,0.0,0.0,schizo.23
0.0,0.0,0.0,schizo.24
0.0,0.0,0.0,schizo.25
0.0,-0.0,0.0,schizo.26
0.0,-0.0,0.0,schizo.27
0.0,0.0,0.0,schizo.28
0.0,-0.0,0.0,schizo.29
0.0,-0.0,0.0,schizo.30
0.0,-0.0,0.0,schizo.31
0.0,0.0,0.0,schizo.32
0.0,0.0,0.0,schizo.33
0.0,0.0,-0.0,schizo.34
0.0,0.0,-0.0,schizo.35
0.0,0.0,0.0,schizo.36
