,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,pid,run,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
73,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1645,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.19,4.19,weasel,46.266666666666666
74,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1646,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.5,1.5,weasel,56.06666666666667
75,firefox,windows,UNKNOWN,8,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1647,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,weasel,56.63333333333333
76,chrome,windows,UNKNOWN,8,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1648,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.04,4.04,weasel,48.53333333333333
77,chrome,linux,UNKNOWN,9,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1649,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",0.5,1.5,rooster,5.783333333333333
79,chrome,windows,UNKNOWN,9,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1651,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.88,3.88,rooster,42.11666666666667
81,chrome,windows,UNKNOWN,9,0,irlexp7_3,2020-10-23,2020-10-23,2020-10-23,0.0,3,debug,1653,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.71,3.71,rooster,39.4
85,chrome,windows,UNKNOWN,3,0,irlexp7_3,2020-10-23,2020-10-23,,0.0,2,debug,1657,QuestPilot2,0,1,7,1,2020-10-23,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",,,porcupine,
129,firefox,windows,UNKNOWN,0,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1169,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.79,3.79,hedgehog,41.1
130,chrome,windows,UNKNOWN,0,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,1170,QuestPilot3,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,hedgehog,51.3
