,pid,run,mouselab-quiz-post_Q0,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-pre_Q0,mouselab-quiz-pre_Q1,mouselab-quiz-pre_Q2,mouselab-quiz-pre_Q3,passed_quizzes,age,colorblind,effort,gender,female,male,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,DEPTH,COST,MIN_TIME,inspectCost,startTime,bonusRate,variance,branching,first_trial,colors,color_names,final_bonus,displayed_bonus,CODE,time_diff
26,1195,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,46,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-03,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,walrus,47.766666666666666
27,1196,QuestPilot3,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,47,0,0,female,1.0,0.0,chrome,macos,UNKNOWN,5,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.82,3.82,walrus,37.0
28,1197,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,39,1,0,male,0.0,1.0,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.08,4.08,walrus,49.05
29,1198,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,30,0,1,male,0.0,1.0,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.84,3.84,walrus,54.55
30,1199,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,27,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,5,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.11,4.11,walrus,2.566666666666667
32,1201,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,42,0,0,female,1.0,0.0,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.68,3.68,dromedary,14.833333333333334
33,1202,QuestPilot3,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1,25,0,0,male,0.0,1.0,chrome,macos,UNKNOWN,6,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.86,3.86,dromedary,48.61666666666667
34,1203,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,25,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",3.05,4.05,dromedary,28.433333333333334
35,1204,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,43,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-11-03,2020-11-03,2020-11-03,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,True,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.87,3.87,dromedary,48.45
36,1205,QuestPilot3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,58,0,0,male,0.0,1.0,chrome,windows,UNKNOWN,6,0,irlexp7_3,2020-11-02,2020-11-02,2020-11-02,0.0,3,debug,0,1,7,1,2020-11-02,0.002,2_4_24,312,False,"['#1b9e77', '#d95f02', '#7570b3']","['Green', 'Orange', 'Purple']",2.45,3.45,dromedary,25.95
