,browser,platform,cond,counterbalance,codeversion,bonus,status,mode,pid,run,final_bonus,displayed_bonus,DEPTH,COST,MIN_TIME,inspectCost,bonusRate,variance,branching,first_trial,time_diff
811,chrome,windows,0,0,0.0.5,0,6,live,750,quest_main,3.45,3.45,0,0,7,1,0.002,2_4_24,312,False,60.05365
812,chrome,windows,0,0,0.0.5,0,6,live,887,quest_main,3.62,3.62,0,0,7,1,0.002,2_4_24,312,True,86.76566666666666
813,chrome,windows,0,0,0.0.5,0,6,live,751,quest_main,3.34,3.34,0,0,7,1,0.002,2_4_24,312,True,73.52255
815,chrome,windows,0,0,0.0.5,0,6,live,908,quest_main,3.29,3.29,0,0,7,1,0.002,2_4_24,312,False,46.3085
816,opera,windows,0,0,0.0.5,0,6,live,841,quest_main,3.06,3.06,0,0,7,1,0.002,2_4_24,312,False,48.44385
817,chrome,windows,0,0,0.0.5,0,6,live,842,quest_main,3.16,3.16,0,0,7,1,0.002,2_4_24,312,False,34.456716666666665
818,chrome,windows,0,0,0.0.5,0,6,live,840,quest_main,2.61,2.61,0,0,7,1,0.002,2_4_24,312,False,131.53276666666667
821,chrome,windows,0,0,0.0.5,0,2,live,752,quest_main,1.6,1.6,0,0,7,1,0.002,2_4_24,312,True,64.3159
822,safari,macos,0,0,0.0.5,0,6,live,844,quest_main,3.19,3.19,0,0,7,1,0.002,2_4_24,312,True,37.10638333333333
823,opera,windows,0,0,0.0.5,0,6,live,918,quest_main,3.31,3.31,0,0,7,1,0.002,2_4_24,312,False,51.901183333333336
824,chrome,windows,0,0,0.0.5,0,6,live,845,quest_main,3.15,3.15,0,0,7,1,0.002,2_4_24,312,True,61.1815
825,opera,windows,0,0,0.0.5,0,6,live,888,quest_main,2.87,2.87,0,0,7,1,0.002,2_4_24,312,False,36.4253
826,opera,windows,0,0,0.0.5,0,6,live,846,quest_main,2.46,2.46,0,0,7,1,0.002,2_4_24,312,False,47.608
827,chrome,windows,0,0,0.0.5,0,6,live,847,quest_main,3.29,3.29,0,0,7,1,0.002,2_4_24,312,False,71.03676666666667
828,chrome,windows,0,0,0.0.5,0,6,live,848,quest_main,3.22,3.22,0,0,7,1,0.002,2_4_24,312,False,55.575783333333334
829,chrome,windows,0,0,0.0.5,0,6,live,854,quest_main,3.37,3.37,0,0,7,1,0.002,2_4_24,312,True,95.04626666666667
830,opera,windows,0,0,0.0.5,0,6,live,849,quest_main,,,0,0,7,1,0.002,2_4_24,312,True,
832,chrome,windows,0,0,0.0.5,0,6,live,851,quest_main,3.34,3.34,0,0,7,1,0.002,2_4_24,312,True,53.55665
833,chrome,windows,0,0,0.0.5,0,6,live,852,quest_main,3.13,3.13,0,0,7,1,0.002,2_4_24,312,False,74.89911666666667
