,pid,run,mouselab-quiz-post_Q1,mouselab-quiz-post_Q2,mouselab-quiz-post_Q3,mouselab-quiz-post_Q4,mouselab-quiz-post_Q5,passed_quizzes,age,effort,gender,female,male,other,browser,platform,cond,counterbalance,codeversion,bonus,status,mode,final_bonus,displayed_bonus,DEPTH,COST,MIN_TIME,inspectCost,bonusRate,variance,branching,first_trial,time_diff
16,57,quest_main,1,1,1,1,2,1,25,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,64.32708333333333
17,58,quest_main,1,1,1,1,1,1,26,0,female,1.0,0.0,0.0,chrome,linux,0,0,0.0.3,0,1,live,3.45,3.45,0,0,7,1,0.002,2_4_24,312,True,94.15398333333333
18,59,quest_main,1,1,1,1,0,1,31,0,other,0.0,0.0,1.0,firefox,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,52.922666666666665
19,60,quest_main,1,1,1,1,0,1,22,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.19,3.19,0,0,7,1,0.002,2_4_24,312,False,92.32345
20,61,quest_main,1,0,1,1,2,1,22,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,68.07673333333334
21,63,quest_main,1,1,1,1,2,1,21,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.2,3.2,0,0,7,1,0.002,2_4_24,312,False,47.47845
22,65,quest_main,1,1,1,1,2,1,21,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.22,3.22,0,0,7,1,0.002,2_4_24,312,True,105.01218333333334
23,66,quest_main,1,1,1,1,1,1,23,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,1.73,1.73,0,0,7,1,0.002,2_4_24,312,True,65.40551666666667
24,67,quest_main,0,0,1,1,2,1,48,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.25,3.25,0,0,7,1,0.002,2_4_24,312,True,108.83408333333334
25,69,quest_main,1,1,1,1,2,1,28,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.98,2.98,0,0,7,1,0.002,2_4_24,312,False,75.73891666666667
26,72,quest_main,1,1,1,1,2,1,27,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.11,3.11,0,0,7,1,0.002,2_4_24,312,True,67.28511666666667
28,74,quest_main,1,1,1,1,2,1,23,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.41,3.41,0,0,7,1,0.002,2_4_24,312,True,77.96568333333333
29,75,quest_main,1,1,1,1,2,1,58,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,69.43403333333333
30,76,quest_main,1,1,1,1,2,1,22,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.22,3.22,0,0,7,1,0.002,2_4_24,312,True,43.6664
31,77,quest_main,1,1,1,1,2,1,24,0,other,0.0,0.0,1.0,chrome,windows,0,0,0.0.3,0,1,live,3.3,3.3,0,0,7,1,0.002,2_4_24,312,False,88.93971666666667
32,78,quest_main,1,1,1,1,2,1,27,0,female,1.0,0.0,0.0,chrome,macos,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,44.10905
33,79,quest_main,1,1,1,1,2,1,27,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.36,3.36,0,0,7,1,0.002,2_4_24,312,True,73.41545
34,80,quest_main,1,1,1,1,2,1,27,1,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,0.62,0.62,0,0,7,1,0.002,2_4_24,312,True,42.8542
35,81,quest_main,1,1,1,1,1,1,27,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.11,3.11,0,0,7,1,0.002,2_4_24,312,False,98.79071666666667
36,84,quest_main,1,1,1,1,1,1,21,1,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,52.0397
37,85,quest_main,1,1,1,1,2,1,38,-1,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,2,live,,,0,0,7,1,0.002,2_4_24,312,False,
38,86,quest_main,1,1,1,1,2,1,45,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,0.88,0.88,0,0,7,1,0.002,2_4_24,312,False,39.74035
39,87,quest_main,1,1,1,1,2,1,21,0,female,1.0,0.0,0.0,opera,windows,0,0,0.0.3,0,1,live,3.26,3.26,0,0,7,1,0.002,2_4_24,312,True,57.26748333333333
40,89,quest_main,1,1,1,1,2,1,35,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.29,3.29,0,0,7,1,0.002,2_4_24,312,False,80.22215
41,91,quest_main,1,1,1,1,1,1,21,0,female,1.0,0.0,0.0,safari,macos,0,0,0.0.3,0,1,live,3.2,3.2,0,0,7,1,0.002,2_4_24,312,False,61.134683333333335
42,92,quest_main,1,1,1,1,2,1,40,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.32,3.32,0,0,7,1,0.002,2_4_24,312,True,46.5703
43,93,quest_main,1,1,1,1,1,1,25,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.18,3.18,0,0,7,1,0.002,2_4_24,312,True,42.4376
45,95,quest_main,1,1,1,1,2,1,20,1,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.05,3.05,0,0,7,1,0.002,2_4_24,312,False,110.38108333333334
46,96,quest_main,1,1,1,1,2,1,32,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.52,3.52,0,0,7,1,0.002,2_4_24,312,False,88.94955
47,98,quest_main,1,1,1,1,2,1,28,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.37,3.37,0,0,7,1,0.002,2_4_24,312,True,92.47558333333333
48,99,quest_main,1,1,1,1,2,1,53,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,1.37,1.37,0,0,7,1,0.002,2_4_24,312,True,78.24368333333334
49,100,quest_main,1,1,1,1,1,1,20,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,0.33,0.33,0,0,7,1,0.002,2_4_24,312,False,71.21338333333334
50,101,quest_main,1,1,1,1,1,1,29,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.43,3.43,0,0,7,1,0.002,2_4_24,312,False,64.07768333333334
51,102,quest_main,1,1,1,1,2,1,26,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.3,3.3,0,0,7,1,0.002,2_4_24,312,False,84.32865
52,104,quest_main,1,1,1,1,2,1,20,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.03,3.03,0,0,7,1,0.002,2_4_24,312,True,76.24055
53,105,quest_main,1,1,1,1,2,1,48,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.18,3.18,0,0,7,1,0.002,2_4_24,312,True,51.52295
55,108,quest_main,1,1,1,1,2,1,22,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.13,3.13,0,0,7,1,0.002,2_4_24,312,True,54.712383333333335
56,109,quest_main,1,1,1,1,1,1,21,0,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,3.38,3.38,0,0,7,1,0.002,2_4_24,312,True,90.97853333333333
57,110,quest_main,1,1,1,1,2,1,25,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,142.10786666666667
58,111,quest_main,1,1,1,1,2,1,20,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.12,3.12,0,0,7,1,0.002,2_4_24,312,True,51.62315
59,112,quest_main,1,1,1,1,1,1,32,0,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,3.09,3.09,0,0,7,1,0.002,2_4_24,312,False,72.88936666666666
60,113,quest_main,1,1,1,1,2,1,38,0,female,1.0,0.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,3.51,3.51,0,0,7,1,0.002,2_4_24,312,False,93.76003333333334
61,114,quest_main,1,1,1,1,1,1,28,1,male,0.0,1.0,0.0,chrome,linux,0,0,0.0.3,0,1,live,3.4,3.4,0,0,7,1,0.002,2_4_24,312,False,38.764066666666665
62,116,quest_main,1,1,1,1,2,1,26,0,female,1.0,0.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,1.31,1.31,0,0,7,1,0.002,2_4_24,312,True,43.44545
63,117,quest_main,1,1,1,1,2,1,57,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.6,2.6,0,0,7,1,0.002,2_4_24,312,True,82.8278
64,118,quest_main,1,1,1,1,2,1,74,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.89,2.89,0,0,7,1,0.002,2_4_24,312,False,114.23233333333333
65,120,quest_main,1,1,1,1,2,1,73,0,female,1.0,0.0,0.0,firefox,macos,0,0,0.0.3,0,1,live,3.2,3.2,0,0,7,1,0.002,2_4_24,312,True,57.481883333333336
66,121,quest_main,1,1,1,1,2,1,24,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.22,3.22,0,0,7,1,0.002,2_4_24,312,False,87.20848333333333
67,122,quest_main,1,1,1,1,0,1,25,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,0.57,0.57,0,0,7,1,0.002,2_4_24,312,False,94.56605
68,123,quest_main,1,1,1,1,1,1,33,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.27,3.27,0,0,7,1,0.002,2_4_24,312,True,41.4421
69,124,quest_main,1,1,1,1,2,1,21,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.73,2.73,0,0,7,1,0.002,2_4_24,312,False,89.6775
70,125,quest_main,1,1,1,1,2,1,25,0,male,0.0,1.0,0.0,firefox,linux,0,0,0.0.3,0,1,live,3.02,3.02,0,0,7,1,0.002,2_4_24,312,False,59.06035
71,126,quest_main,1,1,1,1,2,1,34,0,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,65.51548333333334
72,127,quest_main,1,1,1,1,2,1,25,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.0,3.0,0,0,7,1,0.002,2_4_24,312,False,129.54251666666667
73,128,quest_main,1,1,1,1,2,1,32,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.9,2.9,0,0,7,1,0.002,2_4_24,312,True,51.79135
74,129,quest_main,1,1,1,1,2,1,25,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.24,2.24,0,0,7,1,0.002,2_4_24,312,False,70.22691666666667
75,130,quest_main,1,1,1,1,2,1,21,1,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,95.10696666666666
76,133,quest_main,1,1,1,1,2,1,41,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,75.17801666666666
77,135,quest_main,1,1,1,1,2,1,20,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.91,2.91,0,0,7,1,0.002,2_4_24,312,False,73.12368333333333
78,136,quest_main,1,1,1,1,2,1,27,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.38,3.38,0,0,7,1,0.002,2_4_24,312,False,66.77026666666667
79,137,quest_main,1,1,1,1,2,1,30,0,male,0.0,1.0,0.0,opera,windows,0,0,0.0.3,0,1,live,3.34,3.34,0,0,7,1,0.002,2_4_24,312,True,51.3345
80,139,quest_main,1,1,1,1,1,1,37,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.24,3.24,0,0,7,1,0.002,2_4_24,312,False,69.19516666666667
81,140,quest_main,1,1,1,1,2,1,20,0,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,3.18,3.18,0,0,7,1,0.002,2_4_24,312,False,48.803133333333335
82,141,quest_main,1,1,1,1,2,1,42,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,1.79,1.79,0,0,7,1,0.002,2_4_24,312,False,86.78521666666667
83,142,quest_main,1,1,1,1,1,1,24,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.23,3.23,0,0,7,1,0.002,2_4_24,312,True,54.32346666666667
84,143,quest_main,1,1,1,1,2,1,25,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.19,2.19,0,0,7,1,0.002,2_4_24,312,False,52.40043333333333
85,145,quest_main,1,1,1,1,2,1,21,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.96,2.96,0,0,7,1,0.002,2_4_24,312,True,74.85621666666667
86,147,quest_main,1,1,1,1,2,1,31,0,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.3,0,1,live,3.3,3.3,0,0,7,1,0.002,2_4_24,312,False,58.90025
87,148,quest_main,1,1,1,1,2,1,27,1,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.1,3.1,0,0,7,1,0.002,2_4_24,312,False,74.00028333333333
88,149,quest_main,1,1,1,1,2,1,26,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.03,3.03,0,0,7,1,0.002,2_4_24,312,False,75.65078333333334
89,151,quest_main,1,1,1,1,2,1,20,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.87,2.87,0,0,7,1,0.002,2_4_24,312,True,109.01775
90,152,quest_main,1,1,1,1,2,1,26,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,99.87535
91,153,quest_main,1,1,1,1,2,1,33,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,110.52425
92,154,quest_main,1,1,1,1,2,1,35,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,110.79225
93,156,quest_main,1,1,1,1,1,1,27,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,1.07,1.07,0,0,7,1,0.002,2_4_24,312,True,106.91373333333334
94,157,quest_main,1,1,1,1,2,1,26,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.22,3.22,0,0,7,1,0.002,2_4_24,312,True,105.5732
95,159,quest_main,1,1,1,1,2,1,40,0,female,1.0,0.0,0.0,chrome,macos,0,0,0.0.3,0,1,live,3.4,3.4,0,0,7,1,0.002,2_4_24,312,False,45.92048333333334
96,163,quest_main,1,1,1,1,2,1,22,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.1,3.1,0,0,7,1,0.002,2_4_24,312,False,85.96738333333333
97,164,quest_main,1,1,1,1,2,1,26,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.54,3.54,0,0,7,1,0.002,2_4_24,312,True,93.95468333333334
98,167,quest_main,1,1,1,1,2,1,36,0,male,0.0,1.0,0.0,chrome,macos,0,0,0.0.3,0,1,live,3.22,3.22,0,0,7,1,0.002,2_4_24,312,True,69.8054
99,171,quest_main,1,1,1,1,2,1,31,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.25,3.25,0,0,7,1,0.002,2_4_24,312,False,72.31358333333333
100,172,quest_main,1,1,1,1,2,1,30,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.67,2.67,0,0,7,1,0.002,2_4_24,312,True,90.86346666666667
101,175,quest_main,1,1,1,1,2,1,26,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.62,2.62,0,0,7,1,0.002,2_4_24,312,False,153.56521666666666
102,177,quest_main,1,1,1,1,2,1,29,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.33,3.33,0,0,7,1,0.002,2_4_24,312,False,102.07078333333334
103,178,quest_main,0,0,1,1,2,1,24,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.27,3.27,0,0,7,1,0.002,2_4_24,312,True,85.01558333333334
104,180,quest_main,1,1,1,1,2,1,,,,,,,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,True,
105,182,quest_main,1,0,1,1,-2,1,27,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,0.61,0.61,0,0,7,1,0.002,2_4_24,312,False,78.74925
106,183,quest_main,0,0,1,1,2,1,20,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.73,2.73,0,0,7,1,0.002,2_4_24,312,False,113.39561666666667
107,184,quest_main,0,0,1,1,2,1,35,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,
108,185,quest_main,1,1,1,1,2,1,22,0,male,0.0,1.0,0.0,opera,windows,0,0,0.0.3,0,1,live,3.45,3.45,0,0,7,1,0.002,2_4_24,312,False,64.77688333333333
109,186,quest_main,1,1,1,1,2,1,53,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.07,3.07,0,0,7,1,0.002,2_4_24,312,True,80.6045
111,188,quest_main,1,1,1,1,2,1,22,4,male,0.0,1.0,0.0,opera,windows,0,0,0.0.3,0,1,live,2.64,2.64,0,0,7,1,0.002,2_4_24,312,False,100.15951666666666
112,189,quest_main,1,1,1,1,1,1,40,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.55,3.55,0,0,7,1,0.002,2_4_24,312,True,73.18015
113,190,quest_main,1,1,1,1,2,1,27,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,1.3,1.3,0,0,7,1,0.002,2_4_24,312,True,48.8366
114,191,quest_main,1,1,1,1,2,1,42,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,2.65,2.65,0,0,7,1,0.002,2_4_24,312,True,83.90136666666666
115,192,quest_main,1,0,1,1,2,1,39,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,2.95,2.95,0,0,7,1,0.002,2_4_24,312,False,89.64338333333333
116,193,quest_main,1,1,1,1,1,1,21,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,,,0,0,7,1,0.002,2_4_24,312,True,81.49936666666666
117,195,quest_main,1,1,1,1,2,1,20,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,2.98,2.98,0,0,7,1,0.002,2_4_24,312,True,92.89711666666666
118,196,quest_main,1,1,1,1,2,1,21,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,3.54,3.54,0,0,7,1,0.002,2_4_24,312,False,100.48741666666666
119,198,quest_main,1,1,1,1,2,1,37,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,3.09,3.09,0,0,7,1,0.002,2_4_24,312,False,77.86908333333334
120,199,quest_main,1,1,1,1,2,1,26,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,2.61,2.61,0,0,7,1,0.002,2_4_24,312,True,74.97265
121,200,quest_main,1,1,1,1,2,1,21,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,2.9,2.9,0,0,7,1,0.002,2_4_24,312,False,75.10228333333333
122,201,quest_main,1,1,1,1,1,1,27,0,female,1.0,0.0,0.0,chrome,macos,0,0,0.0.4,0,6,live,,,0,0,7,1,0.002,2_4_24,312,True,52.91471666666666
123,203,quest_main,1,1,1,1,-1,1,54,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,3.04,3.04,0,0,7,1,0.002,2_4_24,312,False,46.545183333333334
124,206,quest_main,1,1,1,1,1,1,20,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,3.08,3.08,0,0,7,1,0.002,2_4_24,312,True,40.09481666666667
125,207,quest_main,1,1,1,1,2,1,46,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,3.26,3.26,0,0,7,1,0.002,2_4_24,312,False,59.73826666666667
126,208,quest_main,1,1,1,1,2,1,27,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,3.25,3.25,0,0,7,1,0.002,2_4_24,312,False,53.5377
127,209,quest_main,1,1,1,1,2,1,21,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,3.08,3.08,0,0,7,1,0.002,2_4_24,312,False,37.00066666666667
128,210,quest_main,1,1,1,1,2,1,20,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.4,0,6,live,2.89,2.89,0,0,7,1,0.002,2_4_24,312,True,80.0039
129,211,quest_main,1,1,1,1,2,1,23,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,,,0,0,7,1,0.002,2_4_24,312,False,83.94873333333334
130,212,quest_main,1,0,1,1,2,1,21,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.3,0,1,live,3.17,3.17,0,0,7,1,0.002,2_4_24,312,True,73.96523333333333
131,213,quest_main,1,0,1,1,1,1,24,0,female,1.0,0.0,0.0,safari,macos,0,0,0.0.5,0,6,live,0.24,0.24,0,0,7,1,0.002,2_4_24,312,True,45.70551666666667
132,216,quest_main,1,1,1,1,2,1,40,0,male,0.0,1.0,0.0,firefox,windows,0,0,0.0.5,0,6,live,3.17,3.17,0,0,7,1,0.002,2_4_24,312,True,67.2531
133,217,quest_main,1,1,1,1,1,1,24,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,3.24,3.24,0,0,7,1,0.002,2_4_24,312,True,91.0066
134,219,quest_main,1,1,1,1,1,1,29,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,3.0,3.0,0,0,7,1,0.002,2_4_24,312,True,37.0013
135,220,quest_main,1,1,1,1,1,1,22,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,3.23,3.23,0,0,7,1,0.002,2_4_24,312,False,94.35313333333333
136,221,quest_main,1,1,1,1,2,1,24,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,3.17,3.17,0,0,7,1,0.002,2_4_24,312,False,69.70866666666667
137,222,quest_main,1,1,1,1,2,1,23,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,3.3,3.3,0,0,7,1,0.002,2_4_24,312,False,85.09308333333334
138,224,quest_main,1,1,1,1,2,1,28,0,male,0.0,1.0,0.0,chrome,macos,0,0,0.0.5,0,6,live,3.48,3.48,0,0,7,1,0.002,2_4_24,312,True,47.72221666666667
140,230,quest_main,1,1,1,1,1,1,30,0,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,3.01,3.01,0,0,7,1,0.002,2_4_24,312,True,95.18383333333334
141,231,quest_main,1,1,1,1,2,1,32,1,male,0.0,1.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,3.48,3.48,0,0,7,1,0.002,2_4_24,312,True,116.10036666666667
142,232,quest_main,1,1,1,1,2,1,36,0,male,0.0,1.0,0.0,chrome,macos,0,0,0.0.5,0,6,live,0.65,0.65,0,0,7,1,0.002,2_4_24,312,False,84.47026666666666
143,236,quest_main,1,1,1,1,2,1,40,0,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,2.54,2.54,0,0,7,1,0.002,2_4_24,312,False,121.61476666666667
144,238,quest_main,1,1,1,1,2,1,20,1,female,1.0,0.0,0.0,chrome,windows,0,0,0.0.5,0,6,live,3.21,3.21,0,0,7,1,0.002,2_4_24,312,True,44.19015
